"id","name","category_code","disease_code","created_at","updated_at"
"1","A000 - Colera debido a Vibrio Cholerae O1, Biotipo Cholerae","A00","0",,
"2","A001 - Colera debido a Vibrio Cholerae O1, Biotipo el Tor","A00","1",,
"3","A009 - Colera","A00","9",,
"4","A0090 - Sospechoso de Colera","A00","90",,
"5","A0091 - Sospechoso de Colera no Especificado sin deshidratacion","A00","91",,
"6","A0092 - Sospechosos de Colera no Especificado con deshidratacion","A00","92",,
"7","A0093 - Sospechosos de Colera no Especificado con deshidratacion con Shock","A00","93",,
"8","A010 - Fiebre Tifoidea","A01","0",,
"9","A0109 - Fiebre Tifoidea con diarrea","A01","09",,
"10","A011 - Fiebre Paratifoidea A","A01","1",,
"11","A012 - Fiebre Paratifoidea B","A01","2",,
"12","A013 - Fiebre Paratifoidea C","A01","3",,
"13","A014 - Fiebre Paratifoidea, no Especificada","A01","4",,
"14","A0141 - Fiebre Paratifoidea no Especificada con diarrea","A01","41",,
"15","A020 - Enteritis debida a Salmonella","A02","0",,
"16","A021 - Septicemia debida a Salmonella","A02","1",,
"17","A022 - Infecciones Localizadas debidas a Salmonella","A02","2",,
"18","A028 - Otras Infecciones Especificadas como debidas a Salmonella","A02","8",,
"19","A029 - Infeccion debida a Salmonela, no Especificada","A02","9",,
"20","A030 - Shigelosis debida a Shigella Dysenteriae","A03","0",,
"21","A031 - Shigelosis debida a Shigella Flexneri","A03","1",,
"22","A032 - Shigelosis debida a Shigella Boydii","A03","2",,
"23","A033 - Shigelosis debida a Shigella Sonnei","A03","3",,
"24","A038 - Otras Shigelosis","A03","8",,
"25","A039 - Shiguellosis sin Especificacion","A03","9",,
"26","A040 - Infeccion debida a Escherichia Coli Enteropatogena","A04","0",,
"27","A041 - Infeccion debida a Escherichia Coli Enterotoxigena","A04","1",,
"28","A042 - Infeccion debida a Escherichia Coli Enteroinvasiva","A04","2",,
"29","A043 - Infeccion debida a Escherichia Coli Enterohemorragica","A04","3",,
"30","A044 - Otras Infecciones Intestinales debidas a Escherichia Coli","A04","4",,
"31","A045 - Enteritis debida a Campylobacter","A04","5",,
"32","A046 - Enteritis debida a Yersinia Enterocolitica","A04","6",,
"33","A047 - Enterocolitis debida a Clostridium difficile","A04","7",,
"34","A048 - Otras Infecciones Intestinales Bacterianas Especificadas","A04","8",,
"35","A049 - Infeccion Intestinal Bacteriana, no Especificada","A04","9",,
"36","A050 - Intoxicacion Alimentaria Estafilococica","A05","0",,
"37","A051 - Botulismo","A05","1",,
"38","A052 - Intoxicacion Alimentaria debida a Clostridium Perfringens Clostridium Welchii]","A05","2",,
"39","A053 - Intoxicacion Alimentaria debida a Vibrio Parahaemolyticus","A05","3",,
"40","A054 - Intoxicacion Alimentaria debida a Bacillus Cereus","A05","4",,
"41","A058 - Otras Intoxicaciones Alimentarias debidas a Bacterias Especificadas","A05","8",,
"42","A059 - Intoxicacion Alimentaria Bacteriana, no Especificada","A05","9",,
"43","A060 - Disenteria Amebiana Aguda","A06","0",,
"44","A061 - Amebiasis Intestinal Cronica","A06","1",,
"45","A062 - Colitis Amebiana no disenterica","A06","2",,
"46","A063 - Ameboma Intestinal","A06","3",,
"47","A064 - Absceso Amebiano del Higado","A06","4",,
"48","A065 - Absceso Amebiano del Pulmon (J99.8*)","A06","5",,
"49","A066 - Absceso Amebiano del Cerebro (G07*)","A06","6",,
"50","A067 - Amebiasis Cutanea","A06","7",,
"51","A068 - Infeccion Amebiana de otras Localizaciones","A06","8",,
"52","A069 - Amebiasis, no Especificada","A06","9",,
"53","A070 - Balantidiasis","A07","0",,
"54","A071 - Giardiasis [Lambliasis]","A07","1",,
"55","A072 - Criptosporidiosis","A07","2",,
"56","A073 - Isosporiasis","A07","3",,
"57","A078 - Otras Enfermedades Intestinales Especificadas debidas a Protozoarios","A07","8",,
"58","A079 - Enfermedad Intestinal debida a Protozoarios, no Especificada","A07","9",,
"59","A0793 - Colitis","A07","93",,
"60","A080 - Enteritis debida a Rotavirus","A08","0",,
"61","A081 - Gastroenteropatia Aguda debida al Agente de Norwalk","A08","1",,
"62","A082 - Enteritis debida a Adenovirus","A08","2",,
"63","A083 - Otras Enteritis Virales","A08","3",,
"64","A084 - Infeccion Intestinal Viral, sin otra Especificacion","A08","4",,
"65","A085 - Otras Infecciones Intestinales Especificadas","A08","5",,
"66","A09X - Infecciones Intestinales debidas a otros Organismos sin Especificar","A09","X",,
"67","A09X0 - Diarrea Acuosa Incluye Colitis, Enteritis, Genterocolitis, Gastroenteritis, Gastroentero","A09","X0",,
"68","A09X1 - Enfermedad Diarreica Acuosa sin deshidratacion","A09","X1",,
"69","A09X2 - Enfermedad Diarreica Acuosa con deshidratacion","A09","X2",,
"70","A09X3 - Enfermedad Diarreica Acuosa con deshidratacion con Shock","A09","X3",,
"71","A09X4 - Enfermedad Diarreica disenterica sin deshidratacion","A09","X4",,
"72","A09X5 - Enfermedad Diarreica disenterica con deshidratacion","A09","X5",,
"73","A09X6 - Enfermedad Diarreica Persistente","A09","X6",,
"74","A09X7 - Diarrea Disenterica","A09","X7",,
"75","A09X8 - Enfermedad Diarreica disenterica con Deshidratacion con Shock","A09","X8",,
"76","A090 - Otras gastroenteritis y colitis no especificadas de origen infeccioso","A09","0",,
"77","A099 - Gastroenteritis y colitis de origen no especificada","A09","9",,
"78","A150 - TBC Pulmonar  Bk (+)","A15","0",,
"79","A151 - TBC Pulmonar Solo Cultivo Positivo","A15","1",,
"80","A152 - Tuberculosis del Pulmon, Confirmada Histologicamente","A15","2",,
"81","A153 - TBC Pulmonar, Confirmada por Medios no Especificados","A15","3",,
"82","A154 - Tuberculosis de Ganglios Linfaticos Intratoracicos, Confirmada Bacteriologica e Histolog","A15","4",,
"83","A155 - Tuberculosis de Laringe, Traquea y Bronquios, Confirmada Bacteriologica e Histologicamen","A15","5",,
"84","A156 - Pleuresia Tuberculosa, Confirmada Bacteriologica e Histologicamente","A15","6",,
"85","A157 - Tuberculosis Respiratoria Primaria, Confirmada Bacteriologica e Histologicamente","A15","7",,
"86","A158 - Otras Tuberculosis Respiratorias, Confirmadas Bacteriologica e Histologicamente","A15","8",,
"87","A159 - Tuberculosis Respiratoria no Especificada, Confirmada Bacteriologica e Histologicamente","A15","9",,
"88","A160 - TBC Pulmonar Bk (-) Cultivo (-)","A16","0",,
"89","A161 - Tuberculosis del Pulmon, sin Examen Bacteriologico e Histologico","A16","1",,
"90","A162 - Tuberculosis del Pulmon, sin Mencion de Confirmacion Bacteriologica o Histologica","A16","2",,
"91","A163 - Tuberculosis de Ganglios Linfaticos Intratoracicos, sin Mencion de Confirmacion Bacterio","A16","3",,
"92","A164 - Tuberculosis de Laringe, Traquea y Bronquios, sin Mencion de Confirmacion Bacteriologica","A16","4",,
"93","A165 - Pleuresia Tuberculosa, sin Mencion de Confirmacion Bacteriologica o Histologica","A16","5",,
"94","A167 - Tuberculosis Respiratoria Primaria, sin Mencion de Confirmacion Bacteriologica o Histolo","A16","7",,
"95","A168 - Otras Tuberculosis Respiratorias, sin Mencion de Confirmacion","A16","8",,
"96","A169 - TBC Respiratoria no Especificada / TBC Pulmonar sin Baciloscopia","A16","9",,
"97","A170 - Meningitis Tuberculosa (G01*)","A17","0",,
"98","A171 - Tuberculoma Meningeo (G07*)","A17","1",,
"99","A178 - Otras Tuberculosis del Sistema Nervioso","A17","8",,
"100","A1782 - Meningitis Tuberculosa","A17","82",,
"101","A179 - Tuberculosis del Sistema Nervioso, no Especificada (G99.8*)","A17","9",,
"102","A180 - Tuberculosis de Huesos y Articulaciones","A18","0",,
"103","A1801 - TBC de Huesos y Articulaciones, sin Confirmacion Bacteriologica e Histopatologica","A18","01",,
"104","A1802 - TBC de Huesos y Articulaciones, Confirmado con Histopatologia","A18","02",,
"105","A1803 - TBC de Huesos y Articulaciones, Confirmado Co Bacteriologia","A18","03",,
"106","A181 - Tuberculosis del Aparato Genitourinario","A18","1",,
"107","A1811 - TBC del Aparato Genitourinario, sin Confirmacion Bacteriologica e Histopatologica","A18","11",,
"108","A1812 - TBC del Aparato Genitourinairo, Confirmado con Histopatologia","A18","12",,
"109","A1813 - TBC del Aparato Genitourinario, Confirmado con Bacteriologia","A18","13",,
"110","A182 - Linfadenopatia Periferica Tuberculosa","A18","2",,
"111","A1821 - Linfadenopatia Periferica Tuberculosa,Sin Confirmacion Bacteriologica e Histopatologica","A18","21",,
"112","A1822 - Linfadenopatia Periferica Tuberculosa, Confirmado con Histopatologia","A18","22",,
"113","A1823 - Linfadenopatia Periferica Tuberculosa, Confirmado con Bacteriologia","A18","23",,
