"id","name","province_id","ubigeo_reniec","ubigeo_inei","created_at","updated_at"
"1","CHACHAPOYAS","101","010101","010101",,
"2","ASUNCION","101","010102","010102",,
"3","BALSAS","101","010103","010103",,
"4","CHETO","101","010104","010104",,
"5","CHILIQUIN","101","010105","010105",,
"6","CHUQUIBAMBA","101","010106","010106",,
"7","GRANADA","101","010107","010107",,
"8","HUANCAS","101","010108","010108",,
"9","LA JALCA","101","010109","010109",,
"10","LEIMEBAMBA","101","010110","010110",,
"11","LEVANTO","101","010111","010111",,
"12","MAGDALENA","101","010112","010112",,
"13","MARISCAL CASTILLA","101","010113","010113",,
"14","MOLINOPAMPA","101","010114","010114",,
"15","MONTEVIDEO","101","010115","010115",,
"16","OLLEROS","101","010116","010116",,
"17","QUINJALCA","101","010117","010117",,
"18","SAN FRANCISCO DE DAGUAS","101","010118","010118",,
"19","SAN ISIDRO DE MAINO","101","010119","010119",,
"20","SOLOCO","101","010120","010120",,
"21","SONCHE","101","010121","010121",,
"22","BAGUA","102","010205","010201",,
"23","ARAMANGO","102","010202","010202",,
"24","COPALLIN","102","010203","010203",,
"25","EL PARCO","102","010204","010204",,
"26","IMAZA","102","010206","010205",,
"27","LA PECA","102","010201","010206",,
"28","JUMBILLA","103","010301","010301",,
"29","CHISQUILLA","103","010304","010302",,
"30","CHURUJA","103","010305","010303",,
"31","COROSHA","103","010302","010304",,
"32","CUISPES","103","010303","010305",,
"33","FLORIDA","103","010306","010306",,
"34","JAZAN","103","010312","010307",,
"35","RECTA","103","010307","010308",,
"36","SAN CARLOS","103","010308","010309",,
"37","SHIPASBAMBA","103","010309","010310",,
"38","VALERA","103","010310","010311",,
"39","YAMBRASBAMBA","103","010311","010312",,
"40","NIEVA","104","010601","010401",,
"41","EL CENEPA","104","010603","010402",,
"42","RIO SANTIAGO","104","010602","010403",,
"43","LAMUD","105","010401","010501",,
"44","CAMPORREDONDO","105","010402","010502",,
"45","COCABAMBA","105","010403","010503",,
"46","COLCAMAR","105","010404","010504",,
"47","CONILA","105","010405","010505",,
"48","INGUILPATA","105","010406","010506",,
"49","LONGUITA","105","010407","010507",,
"50","LONYA CHICO","105","010408","010508",,
"51","LUYA","105","010409","010509",,
"52","LUYA VIEJO","105","010410","010510",,
"53","MARIA","105","010411","010511",,
"54","OCALLI","105","010412","010512",,
"55","OCUMAL","105","010413","010513",,
"56","PISUQUIA","105","010414","010514",,
"57","PROVIDENCIA","105","010423","010515",,
"58","SAN CRISTOBAL","105","010415","010516",,
"59","SAN FRANCISCO DEL YESO","105","010416","010517",,
"60","SAN JERONIMO","105","010417","010518",,
"61","SAN JUAN DE LOPECANCHA","105","010418","010519",,
"62","SANTA CATALINA","105","010419","010520",,
"63","SANTO TOMAS","105","010420","010521",,
"64","TINGO","105","010421","010522",,
"65","TRITA","105","010422","010523",,
"66","SAN NICOLAS","106","010501","010601",,
"67","CHIRIMOTO","106","010503","010602",,
"68","COCHAMAL","106","010502","010603",,
"69","HUAMBO","106","010504","010604",,
"70","LIMABAMBA","106","010505","010605",,
"71","LONGAR","106","010506","010606",,
"72","MARISCAL BENAVIDES","106","010508","010607",,
"73","MILPUC","106","010507","010608",,
"74","OMIA","106","010509","010609",,
"75","SANTA ROSA","106","010510","010610",,
"76","TOTORA","106","010511","010611",,
"77","VISTA ALEGRE","106","010512","010612",,
"78","BAGUA GRANDE","107","010701","010701",,
"79","CAJARURO","107","010702","010702",,
"80","CUMBA","107","010703","010703",,
"81","EL MILAGRO","107","010704","010704",,
"82","JAMALCA","107","010705","010705",,
"83","LONYA GRANDE","107","010706","010706",,
"84","YAMON","107","010707","010707",,
"85","HUARAZ","201","020101","020101",,
"86","COCHABAMBA","201","020103","020102",,
"87","COLCABAMBA","201","020104","020103",,
"88","HUANCHAY","201","020105","020104",,
"89","INDEPENDENCIA","201","020102","020105",,
"90","JANGAS","201","020106","020106",,
"91","LA LIBERTAD","201","020107","020107",,
"92","OLLEROS","201","020108","020108",,
"93","PAMPAS","201","020109","020109",,
"94","PARIACOTO","201","020110","020110",,
"95","PIRA","201","020111","020111",,
"96","TARICA","201","020112","020112",,
"97","AIJA","202","020201","020201",,
"98","CORIS","202","020203","020202",,
"99","HUACLLAN","202","020205","020203",,
"100","LA MERCED","202","020206","020204",,
"101","SUCCHA","202","020208","020205",,
"102","LLAMELLIN","203","021601","020301",,
"103","ACZO","203","021602","020302",,
"104","CHACCHO","203","021603","020303",,
"105","CHINGAS","203","021604","020304",,
"106","MIRGAS","203","021605","020305",,
"107","SAN JUAN DE RONTOY","203","021606","020306",,
"108","CHACAS","204","021801","020401",,
"109","ACOCHACA","204","021802","020402",,
"110","CHIQUIAN","205","020301","020501",,
"111","ABELARDO PARDO LEZAMETA","205","020302","020502",,
"112","ANTONIO RAYMONDI","205","020321","020503",,
"113","AQUIA","205","020304","020504",,
"114","CAJACAY","205","020305","020505",,
"115","CANIS","205","020322","020506",,
"116","COLQUIOC","205","020323","020507",,
"117","HUALLANCA","205","020325","020508",,
"118","HUASTA","205","020311","020509",,
"119","HUAYLLACAYAN","205","020310","020510",,
"120","LA PRIMAVERA","205","020324","020511",,
"121","MANGAS","205","020313","020512",,
"122","PACLLON","205","020315","020513",,
"123","SAN MIGUEL DE CORPANQUI","205","020317","020514",,
"124","TICLLOS","205","020320","020515",,
"125","CARHUAZ","206","020401","020601",,
"126","ACOPAMPA","206","020402","020602",,
"127","AMASHCA","206","020403","020603",,
"128","ANTA","206","020404","020604",,
"129","ATAQUERO","206","020405","020605",,
"130","MARCARA","206","020406","020606",,
"131","PARIAHUANCA","206","020407","020607",,
"132","SAN MIGUEL DE ACO","206","020408","020608",,
"133","SHILLA","206","020409","020609",,
"134","TINCO","206","020410","020610",,
"135","YUNGAR","206","020411","020611",,
"136","SAN LUIS","207","021701","020701",,
"137","SAN NICOLAS","207","021703","020702",,
"138","YAUYA","207","021702","020703",,
"139","CASMA","208","020501","020801",,
"140","BUENA VISTA ALTA","208","020502","020802",,
"141","COMANDANTE NOEL","208","020503","020803",,
"142","YAUTAN","208","020505","020804",,
"143","CORONGO","209","020601","020901",,
"144","ACO","209","020602","020902",,
"145","BAMBAS","209","020603","020903",,
"146","CUSCA","209","020604","020904",,
"147","LA PAMPA","209","020605","020905",,
"148","YANAC","209","020606","020906",,
"149","YUPAN","209","020607","020907",,
"150","HUARI","210","020801","021001",,
"151","ANRA","210","020816","021002",,
"152","CAJAY","210","020802","021003",,
