"id","name","created_at","updated_at"
"1","ACHUAR / ACHUAL, ACHUALE, ACHUARE",,
"2","AIMARA / ARU",,
"3","AMAHUACA / AMIN WAKA, YORA",,
"4","ARABELA / CHIRIPUNO, TAPUEYOCUACA",,
"5","ASHANINKA / CAMPA ASHANINKA",,
"6","ASHENINKA / ASHANINKA DEL GRAN PAJONAL",,
"7","AWAJÚN / AENTS, AGUARUNA",,
"8","BORA / BOORAA, MIAMUNA, MIRANHA, MIRANYA",,
"9","CAPANAHUA / BUSKIPANI, NUQUENCAIBO",,
"10","CASHINAHUA / CAXINAHUA, HUNI KUIN, KACHINAHUA",,
"11","CHAMICURO / CAMIKÓDLO, CHAMICOLOS",,
"12","CHAPRA / SHAPRA",,
"13","CHITONAHUA / MURUNAHUA, YORA",,
"14","ESE EJA / ESE'EJJA, HUARAYO, TIATINAGUA",,
"15","HARAKBUT / AMARAKAERI, ARASAERI, KISAMBERI, PUKIRIERI, SAPITERI, TOYOERI, WACHIPAERI",,
"16","IKITU / AMACACORE, IQUITO, QUITURRAN",,
"17","IÑAPARI / INAMARI, INAPARI, KUSHITIRENI",,
"18","ISCONAHUA / ISCONAWA, ISKOBAKEBO",,
"19","JAQARU / AIMARA CENTRAL, AIMARA TUPINO, ARU, CAUQUI",,
"20","JÍBARO / JIBARO DEL RÍO CORRIENTES, SHIWIAR, SIWARO",,
"21","KAKATAIBO / UNI, UNIBO",,
"22","KAKINTE / POYENISATI",,
"23","KANDOZI / KANDOSHI",,
"24","KICHWA / INGA, QUICHUA, LAMAS, LLACUASH",,
"25","KUKAMA KUKAMIRIA / COCAMA COCAMILLA, XIBITAONA",,
"26","MADIJA / CULINA, KOLINA, MADIHA",,
"27","MAIJUNA / MAIJIKI, OREJÓN",,
"28","MARINAHUA / ONOCOIN, YORA",,
"29","MASHCO PIRO",,
"30","MASTANAHUA / YORA",,
"31","MATSÉS / MAYORUNA",,
"32","MATSIGENKA / MACHIGUENGA, MATSIGANGA, MATSIGUENGA",,
"33","MUNICHE / MUNICHI",,
"34","MURUI-MUINANI / HUITOTO",,
"35","NAHUA / YORA",,
"36","NANTI / MATSIGENKA",,
"37","NOMATSIGENGA / ATIRI, NOMACHIGUENGA",,
"38","OCAINA / DUKAIYA, DYO'XAIYA",,
"39","OMAGUA / ARIANA, OMAGUA YETÉ, PARIANA, UMAWA",,
"40","QUECHUAS / CAÑARIS, CHANKAS, CHOPCCAS, HUANCAS, HUAYLAS, KANA, Q'EROS.",,
"41","RESÍGARO / RESIGERO",,
"42","SECOYA / AIDO PAI",,
"43","SHARANAHUA / ONICOIN, YORA",,
"44","SHAWI / CAMPO PIYAPI, CHAYAWITA, TSHAHUI",,
"45","SHIPIBO-KONIBO / CHIOEO-CONIVO, JONI, SHIPIBO",,
"46","SHIWILU / JEBERO, SHIWILA, XEBERO",,
"47","TIKUNA / DUUXUGU, TICUNA",,
"48","URARINA / ITUCALI, ITUKALE, KACHA EDZE",,
"49","URO / URU",,
"50","VACACOCHA / ABIJIRA, AUSHIRI, AWSHIRA, A'ÉWA",,
"51","WAMPIS / HUAMBISA, SHUAR-SUAMPIS",,
"52","YAGUA / NIHAMWO, YIHAMWO",,
"53","YAMINAHUA / JJAMIMAWA, YORA, YUMINAHUA",,
"54","YANESHA / AMAGE, AMUESHA, AMUEXIA",,
"55","YINE / CHOTAQUIRO, PIRA, PIRO, SIMIRINCHE",,
"56","AFRODESCENDIENTE / AFROPERUANO, NEGRO, ZAMBO, MULATO",,
"57","BLANCO",,
"58","MESTIZO",,
"59","OTRO",,
"60","NO SABE / NO RESPONDE",,
