"id","name","created_at","updated_at"
"1","CASTELLANO",,
"2","ACHUAR",,
"3","AIMARA",,
"4","AMAHUACA",,
"5","ARABELA",,
"6","ASHANINKA",,
"7","ASHENINKA",,
"8","AWAJÚN",,
"9","BORA",,
"10","CASHINAHUA",,
"11","CHAMIKURO",,
"12","ESE EJA",,
"13","HARAKBUT",,
"14","IKITU",,
"15","IÑAPARI",,
"16","ISKONAWA",,
"17","JAQARU",,
"18","KAKATAIBO",,
"19","KAKINTE",,
"20","KANDOZI-CHAPRA",,
"21","KAPANAWA",,
"22","KAWKI",,
"23","KUKAMA KUKAMIRIA",,
"24","MADIJA",,
"25","MAIJƗKI",,
"26","MATSÉS",,
"27","MATSIGENKA",,
"28","MATSIGENKA
MONTETOKUNIRIRA",,
"29","MUNICHI",,
"30","MURUI-MUINANƗ",,
"31","NAHUA",,
"32","NOMATSIGENGA",,
"33","OCAINA",,
"34","OMAGUA",,
"35","QUECHUA",,
"36","RESÍGARO",,
"37","SECOYA",,
"38","SHARANAHUA",,
"39","SHAWI",,
"40","SHIPIBO-KONIBO",,
"41","SHIWILU",,
"42","TAUSHIRO",,
"43","TICUNA",,
"44","URARINA",,
"45","WAMPIS",,
"46","YAGUA",,
"47","YAMINAHUA",,
"48","YANESHA",,
"49","YINE",,
