"id","name","department_id","created_at","updated_at"
"101","CHACHAPOYAS","1",,
"102","BAGUA","1",,
"103","BONGARA","1",,
"104","CONDORCANQUI","1",,
"105","LUYA","1",,
"106","RODRIGUEZ DE MENDOZA","1",,
"107","UTCUBAMBA","1",,
"201","HUARAZ","2",,
"202","AIJA","2",,
"203","ANTONIO RAYMONDI","2",,
"204","ASUNCION","2",,
"205","BOLOGNESI","2",,
"206","CARHUAZ","2",,
"207","CARLOS FERMIN FITZCARRALD","2",,
"208","CASMA","2",,
"209","CORONGO","2",,
"210","HUARI","2",,
"211","HUARMEY","2",,
"212","HUAYLAS","2",,
"213","MARISCAL LUZURIAGA","2",,
"214","OCROS","2",,
"215","PALLASCA","2",,
"216","POMABAMBA","2",,
"217","RECUAY","2",,
"218","SANTA","2",,
"219","SIHUAS","2",,
"220","YUNGAY","2",,
"301","ABANCAY","3",,
"302","ANDAHUAYLAS","3",,
"303","ANTABAMBA","3",,
"304","AYMARAES","3",,
"305","COTABAMBAS","3",,
"306","CHINCHEROS","3",,
"307","GRAU","3",,
"401","AREQUIPA","4",,
"402","CAMANA","4",,
"403","CARAVELI","4",,
"404","CASTILLA","4",,
"405","CAYLLOMA","4",,
"406","CONDESUYOS","4",,
"407","ISLAY","4",,
"408","LA UNION","4",,
"501","HUAMANGA","5",,
"502","CANGALLO","5",,
"503","HUANCA SANCOS","5",,
"504","HUANTA","5",,
"505","LA MAR","5",,
"506","LUCANAS","5",,
"507","PARINACOCHAS","5",,
"508","PAUCAR DEL SARA SARA","5",,
"509","SUCRE","5",,
"510","VICTOR FAJARDO","5",,
"511","VILCAS HUAMAN","5",,
"601","CAJAMARCA","6",,
"602","CAJABAMBA","6",,
"603","CELENDIN","6",,
"604","CHOTA","6",,
"605","CONTUMAZA","6",,
"606","CUTERVO","6",,
"607","HUALGAYOC","6",,
"608","JAEN","6",,
"609","SAN IGNACIO","6",,
"610","SAN MARCOS","6",,
"611","SAN MIGUEL","6",,
"612","SAN PABLO","6",,
"613","SANTA CRUZ","6",,
"701","CALLAO","7",,
"801","CUSCO","8",,
"802","ACOMAYO","8",,
"803","ANTA","8",,
"804","CALCA","8",,
"805","CANAS","8",,
"806","CANCHIS","8",,
"807","CHUMBIVILCAS","8",,
"808","ESPINAR","8",,
"809","LA CONVENCION","8",,
"810","PARURO","8",,
"811","PAUCARTAMBO","8",,
"812","QUISPICANCHI","8",,
"813","URUBAMBA","8",,
"901","HUANCAVELICA","9",,
"902","ACOBAMBA","9",,
"903","ANGARAES","9",,
"904","CASTROVIRREYNA","9",,
"905","CHURCAMPA","9",,
"906","HUAYTARA","9",,
"907","TAYACAJA","9",,
"1001","HUANUCO","10",,
"1002","AMBO","10",,
"1003","DOS DE MAYO","10",,
"1004","HUACAYBAMBA","10",,
"1005","HUAMALIES","10",,
"1006","LEONCIO PRADO","10",,
"1007","MARAÑON","10",,
"1008","PACHITEA","10",,
"1009","PUERTO INCA","10",,
"1010","LAURICOCHA","10",,
"1011","YAROWILCA","10",,
"1101","ICA","11",,
"1102","CHINCHA","11",,
"1103","NAZCA","11",,
"1104","PALPA","11",,
"1105","PISCO","11",,
"1201","HUANCAYO","12",,
"1202","CONCEPCION","12",,
"1203","CHANCHAMAYO","12",,
"1204","JAUJA","12",,
"1205","JUNIN","12",,
"1206","SATIPO","12",,
"1207","TARMA","12",,
"1208","YAULI","12",,
"1209","CHUPACA","12",,
"1301","TRUJILLO","13",,
"1302","ASCOPE","13",,
"1303","BOLIVAR","13",,
"1304","CHEPEN","13",,
"1305","JULCAN","13",,
"1306","OTUZCO","13",,
"1307","PACASMAYO","13",,
"1308","PATAZ","13",,
"1309","SANCHEZ CARRION","13",,
"1310","SANTIAGO DE CHUCO","13",,
"1311","GRAN CHIMU","13",,
"1312","VIRU","13",,
"1401","CHICLAYO","14",,
"1402","FERREÑAFE","14",,
"1403","LAMBAYEQUE","14",,
"1501","LIMA","15",,
"1502","BARRANCA","15",,
"1503","CAJATAMBO","15",,
"1504","CANTA","15",,
"1505","CAÑETE","15",,
"1506","HUARAL","15",,
"1507","HUAROCHIRI","15",,
"1508","HUAURA","15",,
"1509","OYON","15",,
"1510","YAUYOS","15",,
"1601","MAYNAS","16",,
"1602","ALTO AMAZONAS","16",,
"1603","LORETO","16",,
"1604","MARISCAL RAMON CASTILLA","16",,
"1605","REQUENA","16",,
"1606","UCAYALI","16",,
"1607","DATEM DEL MARAÑON","16",,
"1608","PUTUMAYO","16",,
"1701","TAMBOPATA","17",,
"1702","MANU","17",,
"1703","TAHUAMANU","17",,
"1801","MARISCAL NIETO","18",,
"1802","GENERAL SANCHEZ CERRO","18",,
"1803","ILO","18",,
"1901","PASCO","19",,
"1902","DANIEL ALCIDES CARRION","19",,
"1903","OXAPAMPA","19",,
"2001","PIURA","20",,
"2002","AYABACA","20",,
"2003","HUANCABAMBA","20",,
"2004","MORROPON","20",,
"2005","PAITA","20",,
"2006","SULLANA","20",,
"2007","TALARA","20",,
"2008","SECHURA","20",,
"2101","PUNO","21",,
"2102","AZANGARO","21",,
"2103","CARABAYA","21",,
"2104","CHUCUITO","21",,
"2105","EL COLLAO","21",,
"2106","HUANCANE","21",,
"2107","LAMPA","21",,
"2108","MELGAR","21",,
"2109","MOHO","21",,
"2110","SAN ANTONIO DE PUTINA","21",,
"2111","SAN ROMAN","21",,
"2112","SANDIA","21",,
"2113","YUNGUYO","21",,
"2201","MOYOBAMBA","22",,
"2202","BELLAVISTA","22",,
"2203","EL DORADO","22",,
"2204","HUALLAGA","22",,
"2205","LAMAS","22",,
"2206","MARISCAL CACERES","22",,
"2207","PICOTA","22",,
"2208","RIOJA","22",,
"2209","SAN MARTIN","22",,
"2210","TOCACHE","22",,
"2301","TACNA","23",,
"2302","CANDARAVE","23",,
"2303","JORGE BASADRE","23",,
"2304","TARATA","23",,
"2401","TUMBES","24",,
"2402","CONTRALMIRANTE VILLAR","24",,
"2403","ZARUMILLA","24",,
"2501","CORONEL PORTILLO","25",,
"2502","ATALAYA","25",,
"2503","PADRE ABAD","25",,
"2504","PURUS","25",,
